 , date,rtt(ns),GUID,type,seq#,success/fail,,,,,,,,,,,,,
 ,[12:16:45.890],-,TRACE,-,main/GNRSServer,-,Loading,configuration,file,rock-configs/current/server.xml.,,,,,,,,,
,[13:34:48.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:49.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:50.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:51.412],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,0,,,,,,,,,
,[13:34:51.413],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:52.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:53.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:54.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:55.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:56.413],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:57.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:58.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:59.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:00.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:01.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:01.409],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,0,,,,,,,,,
,[13:35:02.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:03.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:04.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:05.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:06.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:07.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:08.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:09.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:10.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:11.409],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,0,,,,,,,,,
,[13:35:11.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:12.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:13.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:14.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:15.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:16.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:17.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:18.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:19.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:20.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:21.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:21.411],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,0,,,,,,,,,
,[13:35:22.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:23.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:24.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:25.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:26.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:27.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:28.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:29.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:30.410],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:31.410],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,0,,,,,,,,,
,[13:35:31.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:32.414],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:33.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:34.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:35.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:36.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:37.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:38.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:39.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:40.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:41.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:41.412],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,0,,,,,,,,,
,[13:35:42.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:43.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:44.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:45.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:46.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:47.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
